model,domain,k,num_axes,auc,ap,acc,f1,frac_of_full_auc
dinov2,9gan,32,32,0.9410699598765431,0.9479441751312914,0.7285,0.6298848833686762,0.9893649262629852
dinov2,diffusion,32,32,0.855109828125,0.8591295213303376,0.7158125,0.6308953648835133,0.9619322039850623
dinov2,forensynths_test,64,64,0.8929460281918903,0.9219739084228028,0.7433349999193587,0.6570997629821159,1.0020072786870906
dinov2,9gan,64,64,0.9513862160493827,0.9563469148298902,0.6724444444444444,0.5137319587628866,1.000210604547191
dinov2,diffusion,64,64,0.8823359375000001,0.885848726523669,0.7009375,0.5853912139329348,0.9925594644089757
mae,forensynths_test,all,128,0.7654833765085176,0.7964750160537867,0.6695321194135767,0.5430826866470431,
mae,9gan,all,128,0.810397512345679,0.7908225911114186,0.5290555555555555,0.11753070997293358,
mae,diffusion,all,128,0.8020789375,0.8069942998001274,0.6449375,0.47952359138799816,
mae,forensynths_test,1,1,0.5812918416461811,0.5957135550160475,0.5508443139848072,0.5697733697919081,0.7593787918655253
mae,9gan,1,1,0.6351018533950616,0.6231948538516245,0.5356944444444445,0.20830767773409747,0.78369176079622
mae,diffusion,1,1,0.6617945781250001,0.6473144580809451,0.6218125,0.6307438823457618,0.8250990609325158
mae,forensynths_test,2,2,0.5903725514874273,0.6098760747234822,0.5832459719690982,0.5316974156366668,0.7712415051783403
mae,9gan,2,2,0.6436201820987655,0.6288501237488872,0.5615277777777777,0.3424834423293206,0.7942030575042365
mae,diffusion,2,2,0.638482171875,0.6351351129627416,0.5750625,0.6570837746507288,0.7960340834595223
mae,forensynths_test,4,4,0.6381682589375104,0.6278324024123508,0.5968098317823332,0.5171607918879768,0.8336801013867732
mae,9gan,4,4,0.6670095462962964,0.6501164098475434,0.5330833333333334,0.16634429400386846,0.8230646517727466
mae,diffusion,4,4,0.711463296875,0.7125901489682953,0.6611875,0.6378999398837752,0.887024036677188
mae,forensynths_test,8,8,0.6670799506472727,0.6701886629844132,0.5886005515862136,0.39918974938760127,0.8714492974229205
mae,9gan,8,8,0.6920365555555555,0.6681803808079757,0.5143611111111112,0.07639072322890803,0.8539470383521661
mae,diffusion,8,8,0.719981484375,0.7182142150580919,0.6235625,0.47694311767260095,0.8976441728031288
mae,forensynths_test,16,16,0.6904993246532727,0.7074828139055,0.6084221731206555,0.4324021040327294,0.9020435268009892
mae,9gan,16,16,0.7212921728395063,0.7009293567465248,0.5178333333333334,0.07885799193377202,0.8900473679290314
mae,diffusion,16,16,0.7060253124999999,0.7022784935976938,0.611125,0.45045045045045046,0.8802441748446983
mae,forensynths_test,32,32,0.7317472889423304,0.7580041045722739,0.6402593422898892,0.4893660859412559,0.955928386426806
mae,9gan,32,32,0.7576171296296297,0.73369008683342,0.5264444444444445,0.10818162795563925,0.9348709961321604
mae,diffusion,32,32,0.798008703125,0.801758372888262,0.6423125,0.48005814481693465,0.9949253942664465
mae,forensynths_test,64,64,0.7592221883480572,0.7910864538104294,0.6703707885102334,0.5502002728993354,0.9918206085819674
mae,9gan,64,64,0.8073352098765432,0.7868433963699069,0.5359722222222222,0.14495572503454981,0.9962212341196951
